time,DailyPrecipitation
1/06/00,3.429914
2/06/00,12.1076841
3/06/00,0.389223903
4/06/00,4.73332071
5/06/00,12.2220793
6/06/00,0.261615992
7/06/00,0.307707906
8/06/00,19.9113617
9/06/00,6.16816807
10/06/00,27.0813541
11/06/00,2.52451205
12/06/00,3.17600679
13/06/00,1.09868836
14/06/00,3.74353313
15/06/00,18.3772259
16/06/00,25.383522
17/06/00,47.877552
18/06/00,29.1761341
19/06/00,0.051558591
20/06/00,8.71023941
21/06/00,2.91571903
22/06/00,35.5068398
23/06/00,4.06922054
24/06/00,14.3400888
25/06/00,0.029096415
26/06/00,0.2382963
27/06/00,29.4614067
28/06/00,2.91733241
29/06/00,3.94889188
30/06/00,21.9123898
1/07/00,13.3567886
2/07/00,0.405039668
3/07/00,56.8308868
4/07/00,14.3008699
5/07/00,14.1263704
6/07/00,19.8463421
7/07/00,0.729970276
8/07/00,2.09186745
9/07/00,3.47821236
10/07/00,0.377522826
11/07/00,12.5942993
12/07/00,2.77731299
13/07/00,17.402523
14/07/00,5.7676506
15/07/00,0.929289222
16/07/00,0.031273596
17/07/00,1.24344969
18/07/00,0.043227211
19/07/00,5.17242432
20/07/00,19.0740662
21/07/00,1.00222027
22/07/00,10.7481556
23/07/00,14.7479115
24/07/00,30.8456383
25/07/00,34.6559944
26/07/00,5.03259659
27/07/00,10.7845659
28/07/00,5.29849911
29/07/00,0.290252209
30/07/00,15.7091599
31/07/00,0.831386507
1/08/00,4.55928993
2/08/00,2.59058213
3/08/00,52.0178833
4/08/00,0.20613645
5/08/00,21.6330147
6/08/00,1.33019769
7/08/00,0.069036469
8/08/00,13.1692791
9/08/00,4.38929272
10/08/00,5.68158007
11/08/00,0.005941602
12/08/00,2.98591566
13/08/00,0.068696715
14/08/00,4.98587704
15/08/00,13.8609743
16/08/00,16.6976624
17/08/00,15.5523186
18/08/00,1.59824967
19/08/00,6.4116993
20/08/00,8.53063393
21/08/00,16.949831
22/08/00,6.53415489
23/08/00,8.52945995
24/08/00,2.96952128
25/08/00,0.542709112
26/08/00,31.4760361
27/08/00,75.1570969
28/08/00,0.033849888
29/08/00,2.71042418
30/08/00,1.93332505
