id,order,family,genus,scientific_name
1,Tinamiformes,Tinamidae,Nothocercus,Nothocercus julius
2,Tinamiformes,Tinamidae,Nothocercus,Nothocercus bonapartei
3,Tinamiformes,Tinamidae,Tinamus,Tinamus tao
4,Tinamiformes,Tinamidae,Tinamus,Tinamus osgoodi
5,Tinamiformes,Tinamidae,Tinamus,Tinamus major
6,Tinamiformes,Tinamidae,Tinamus,Tinamus guttatus
7,Tinamiformes,Tinamidae,Crypturellus,Crypturellus berlepschi
8,Tinamiformes,Tinamidae,Crypturellus,Crypturellus cinereus
9,Tinamiformes,Tinamidae,Crypturellus,Crypturellus soui
10,Tinamiformes,Tinamidae,Crypturellus,Crypturellus obsoletus
11,Tinamiformes,Tinamidae,Crypturellus,Crypturellus undulatus
12,Tinamiformes,Tinamidae,Crypturellus,Crypturellus duidae
13,Tinamiformes,Tinamidae,Crypturellus,Crypturellus erythropus
14,Tinamiformes,Tinamidae,Crypturellus,Crypturellus kerriae
15,Tinamiformes,Tinamidae,Crypturellus,Crypturellus variegatus
16,Tinamiformes,Tinamidae,Crypturellus,Crypturellus brevirostris
17,Tinamiformes,Tinamidae,Crypturellus,Crypturellus bartletti
18,Tinamiformes,Tinamidae,Crypturellus,Crypturellus casiquiare
19,Tinamiformes,Tinamidae,Nothoprocta,Nothoprocta curvirostris
20,Anseriformes,Anhimidae,Anhima,Anhima cornuta
21,Anseriformes,Anhimidae,Chauna,Chauna chavaria
22,Anseriformes,Anatidae,Dendrocygna,Dendrocygna bicolor
23,Anseriformes,Anatidae,Dendrocygna,Dendrocygna viduata
24,Anseriformes,Anatidae,Dendrocygna,Dendrocygna autumnalis
25,Anseriformes,Anatidae,Oressochen,Oressochen jubatus
26,Anseriformes,Anatidae,Alopochen,Alopochen aegyptiaca
27,Anseriformes,Anatidae,Cairina,Cairina moschata
28,Anseriformes,Anatidae,Sarkidiornis,Sarkidiornis sylvicola
29,Anseriformes,Anatidae,Amazonetta,Amazonetta brasiliensis
30,Anseriformes,Anatidae,Merganetta,Merganetta armata
31,Anseriformes,Anatidae,Spatula,Spatula puna
32,Anseriformes,Anatidae,Spatula,Spatula clypeata
33,Anseriformes,Anatidae,Spatula,Spatula discors
34,Anseriformes,Anatidae,Spatula,Spatula cyanoptera
35,Anseriformes,Anatidae,Mareca,Mareca strepera
36,Anseriformes,Anatidae,Mareca,Mareca americana
37,Anseriformes,Anatidae,Anas,Anas bahamensis
38,Anseriformes,Anatidae,Anas,Anas acuta
39,Anseriformes,Anatidae,Anas,Anas georgica
40,Anseriformes,Anatidae,Anas,Anas crecca
41,Anseriformes,Anatidae,Anas,Anas andium
42,Anseriformes,Anatidae,Netta,Netta erythrophthalma
43,Anseriformes,Anatidae,Aythya,Aythya collaris
44,Anseriformes,Anatidae,Aythya,Aythya affinis
45,Anseriformes,Anatidae,Melanitta,Melanitta americana
46,Anseriformes,Anatidae,Mergus,Mergus serrator
47,Anseriformes,Anatidae,Nomonyx,Nomonyx dominicus
48,Anseriformes,Anatidae,Oxyura,Oxyura jamaicensis
49,Galliformes,Cracidae,Chamaepetes,Chamaepetes goudotii
50,Galliformes,Cracidae,Penelope,Penelope argyrotis
51,Galliformes,Cracidae,Penelope,Penelope ortoni
52,Galliformes,Cracidae,Penelope,Penelope montagnii
53,Galliformes,Cracidae,Penelope,Penelope jacquacu
54,Galliformes,Cracidae,Penelope,Penelope purpurascens
55,Galliformes,Cracidae,Penelope,Penelope perspicax
56,Galliformes,Cracidae,Pipile,Pipile cumanensis
57,Galliformes,Cracidae,Aburria,Aburria aburri
58,Galliformes,Cracidae,Ortalis,Ortalis cinereiceps
59,Galliformes,Cracidae,Ortalis,Ortalis garrula
60,Galliformes,Cracidae,Ortalis,Ortalis ruficauda
61,Galliformes,Cracidae,Ortalis,Ortalis erythroptera
