LAST EDITED DATE	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	OBSERVER ORCID ID	SAMPLING EVENT IDENTIFIER	OBSERVATION TYPE	PROTOCOL NAME	PROTOCOL CODE	PROJECT NAMES	PROJECT IDENTIFIERS	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	CHECKLIST COMMENTS	
2024-04-18 02:00:22.283208	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-01-17	19:48:00	obsr139848		S101520363	Stationary	Stationary	P21			9			1	1	G7780634		
2024-04-18 02:01:07.306011	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-01-19	16:06:00	obsr1284258		S103701158	Traveling	Traveling	P22			19	3.870		8	1	G7780630		
2022-01-15 15:57:23.912262	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-01-10	14:00:00	obsr52680		S100795096	Traveling	Traveling	P22			13	0.348		6	1	G7698880		
2022-01-15 15:57:23.082145	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-01-13	15:13:00	obsr52680		S100795084	Stationary	Stationary	P21			4			7	1	G7709904		
2022-01-14 22:55:16.384693	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-01-10	14:00:00	obsr543784		S100746833	Traveling	Traveling	P22			13	0.348		6	1	G7698880		
2022-01-13 20:25:59.737072	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-01-13	15:13:00	obsr535937		S100682651	Stationary	Stationary	P21			4			7	1	G7709904		
2022-01-13 20:25:59.737072	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-01-13	15:13:00	obsr650929		S100685842	Stationary	Stationary	P21			4			7	1	G7709904		
2022-03-20 21:40:16.715674	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-02-16	14:22:00	obsr1231533		S105275715	Traveling	Traveling	P22			150	2.920		2	1			
2022-12-11 19:43:45.082489	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-12-10	16:45:00	obsr2875721		S123838079	Incidental	Incidental	P20						1	0	G9286089		
2022-08-20 19:54:19.039066	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-08-20	14:38:00	obsr1670472		S117283666	Traveling	Traveling	P22			25	0.262		3	1	G8816214	75F, 7mph, cloudy; runway and around the airport	
