LAST EDITED DATE	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	TRIP COMMENTS	
2024-01-02 13:23:58.156371	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-11-21		obsr162387	S21358432	Incidental	P20	EBIRD				1	1			
2021-12-11 10:13:11.791875	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-11-05	07:00:00	obsr971049	S98291159	Traveling	P22	EBIRD	480	8.047		3	1	G7515893		
2023-10-24 18:32:46.346726	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-08-15	06:00:00	obsr101311	S20006813	Traveling	P22	EBIRD	600	3.219		5	1	G1893741		
2024-02-28 17:45:41.067712	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-09-29	05:30:00	obsr1334452	S67979502	Historical	P62	EBIRD					1		Originally entered in My Birding from HBW Alive (birdlist ID: 1292886). Prepared and uploaded by eBird staff; taxonomy updated and locations reconciled. <br><br>Original My Birding birdlist title: <b>Mitú Cachivera, Mitú (29 Sep 2014 05:30)</b>. Original territory and coordinates: Colombia (1.2118, -70.23259). <br /><br /><b>Birdlist Comments: </b>Also full day on 2 October	
2023-10-24 18:32:41.033256	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-08-15	06:00:00	obsr162605	S31204370	Traveling	P22	EBIRD	600	3.219		5	1	G1893741		
2021-12-11 10:13:11.791875	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-11-05	07:00:00	obsr1461705	S98738086	Traveling	P22	EBIRD	480	8.047		3	1	G7515893		
2024-01-02 13:23:58.862072	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-03-21		obsr162387	S18250331	Incidental	P20	EBIRD				1	1			
2023-10-24 18:32:40.786563	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-08-15	06:00:00	obsr915176	S36558796	Traveling	P22	EBIRD	600	3.219		5	1	G1893741		
2023-10-24 06:13:40.295059	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-10-19		obsr162605	S31130484	Historical	P62	EBIRD				9	1	G1887328	Guided tour with Diego Calderon of Colombia Birding, Jorgé Gonzales and indigenous guide Miguel	
2018-08-07 18:01:31	Colombia	CO	Vaupés	CO-VAU							Camino Santa Cruz y Sendas	L1450948	H	1.1190923	-70.0826454	2014-08-17	05:45:00	obsr101311	S20013882	Traveling	P22	EBIRD	660	4.828		5	1	G1893745		
2024-01-02 13:24:08.58	Colombia	CO	Vaupés	CO-VAU							Camino Santa Cruz y Sendas	L1450948	H	1.1190923	-70.0826454	2014-11-08	06:00:00	obsr971049	S98294807	Traveling	P22	EBIRD	540	8.047		3	1	G7515878		
2024-01-02 13:24:08.772358	Colombia	CO	Vaupés	CO-VAU							Camino Santa Cruz y Sendas	L1450948	H	1.1190923	-70.0826454	2014-07-19	06:00:00	obsr693372	S27529984	Traveling	P22	EBIRD	690	18.000		5	1		Birded the road to Santa Cruz and Microcentral Eléctrica (MCH). With Miguel Portura & Agripino.	
2023-10-24 06:13:14.86622	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-10-19		obsr532139	S30803208	Historical	P62	EBIRD				9	1	G1887328	Guided tour with Diego Calderon of Colombia Birding, Jorgé Gonzales and indigenous guide Miguel	
2023-10-23 12:32:57.025585	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-02-03	05:50:00	obsr142759	S17496428	Traveling	P22	EBIRD	400	2.736		12	1			
2020-10-08 07:08:15	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-03-18		obsr162387	S18250282	Incidental	P20	EBIRD				1	1			
2020-10-08 07:17:28	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-03-19		obsr162387	S18250362	Incidental	P20	EBIRD				1	1			
2020-03-30 05:13:53	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-03-25	06:00:00	obsr162387	S18250359	Incidental	P20	EBIRD				1	1			
2020-08-12 21:13:29	Colombia	CO	Vaupés	CO-VAU							Camino Santa Cruz y Sendas	L1450948	H	1.1190923	-70.0826454	2014-10-18		obsr915176	S36558791	Historical	P62	EBIRD				9	1	G1887329	Guided tour with Diego Calderon of Colombia Birding, Jorgé Gonzales and indigenous guide	
2024-01-02 13:24:09.075738	Colombia	CO	Vaupés	CO-VAU							Camino Santa Cruz y Sendas	L1450948	H	1.1190923	-70.0826454	2014-11-17	05:54:00	obsr162387	S21358437	Incidental	P20	EBIRD				1	1			
2024-01-02 13:24:09.138542	Colombia	CO	Vaupés	CO-VAU							Camino Santa Cruz y Sendas	L1450948	H	1.1190923	-70.0826454	2014-11-26	06:00:00	obsr215180	S20869583	Traveling	P22	EBIRD	540	8.000		10	1			
2024-01-02 13:24:09.044236	Colombia	CO	Vaupés	CO-VAU							Camino Santa Cruz y Sendas	L1450948	H	1.1190923	-70.0826454	2014-11-18	06:20:00	obsr162387	S21358436	Incidental	P20	EBIRD				1	1			
2023-04-23 12:37:24.859322	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-08-15	06:00:00	obsr107352	S40901843	Traveling	P22	EBIRD	600	3.219		5	1	G1893741		
2020-10-08 12:51:32	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-11-22	05:45:00	obsr162387	S21358313	Incidental	P20	EBIRD				1	1			
2020-08-21 11:12:21	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-07-22	06:00:00	obsr693372	S27542984	Traveling	P22	EBIRD	180	3.000		4	1		Birded this site before taking flight back to Bogotá. With Miguel Portura.	
2020-03-30 05:13:53	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-11-24	07:00:00	obsr738493	S37935512	Traveling	P22	EBIRD	300	8.047		12	1			
2020-03-30 05:13:53	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-01-21	05:15:00	obsr431114	S60404849	Traveling	P22	EBIRD	540	9.656		1	1			
2020-03-30 05:13:53	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-01-15	05:15:00	obsr431114	S60404519	Traveling	P22	EBIRD	600	9.656		1	1			
2020-03-30 05:13:53	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-03-17		obsr162387	S18250253	Incidental	P20	EBIRD				1	1			
2018-08-07 18:01:31	Colombia	CO	Vaupés	CO-VAU							Camino Santa Cruz y Sendas	L1450948	H	1.1190923	-70.0826454	2014-08-17	05:45:00	obsr162605	S31204378	Traveling	P22	EBIRD	660	4.828		5	1	G1893745		
2020-08-12 21:13:29	Colombia	CO	Vaupés	CO-VAU							Camino Santa Cruz y Sendas	L1450948	H	1.1190923	-70.0826454	2014-10-18		obsr532139	S30803370	Historical	P62	EBIRD				9	1	G1887329	Guided tour with Diego Calderon of Colombia Birding, Jorgé Gonzales and indigenous guide	
2020-08-12 21:13:29	Colombia	CO	Vaupés	CO-VAU							Camino Santa Cruz y Sendas	L1450948	H	1.1190923	-70.0826454	2014-10-18		obsr162605	S31130485	Historical	P62	EBIRD				9	1	G1887329	Guided tour with Diego Calderon of Colombia Birding, Jorgé Gonzales and indigenous guide	
2019-10-05 00:03:20	Colombia	CO	Vaupés	CO-VAU							Camino Santa Cruz y Sendas	L1450948	H	1.1190923	-70.0826454	2014-01-24	05:35:00	obsr431114	S60354472	Traveling	P22	EBIRD	480	11.265		1	1		Intermittent rain	
2023-10-24 06:20:06.462445	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-10-19		obsr915176	S36558788	Historical	P62	EBIRD				9	1	G1887328	Guided tour with Diego Calderon of Colombia Birding, Jorgé Gonzales and indigenous guide Miguel	
2024-01-02 13:23:58.52389	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-04-23	05:50:00	obsr1704441	S71812732	Traveling	P22	EBIRD	690	12.000		4	1			
2023-10-24 18:32:36.441233	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-01-06	05:40:00	obsr142759	S17516871	Traveling	P22	EBIRD	200	3.541		12	1			
2020-05-18 08:48:51	Colombia	CO	Vaupés	CO-VAU							Senda Mitú Cachivera	L1450896	H	1.2205831	-70.2384067	2014-11-24	06:13:00	obsr215180	S20864302	Traveling	P22	EBIRD	500	5.000		10	1		Submitted from  BirdLog SA for Android v1.9.6	
2018-08-07 18:01:31	Colombia	CO	Vaupés	CO-VAU							Camino Santa Cruz y Sendas	L1450948	H	1.1190923	-70.0826454	2014-08-17	05:45:00	obsr915176	S36558759	Traveling	P22	EBIRD	660	4.828		5	1	G1893745		
2023-02-01 19:53:11.403123	Colombia	CO	Vaupés	CO-VAU							Camino Santa Cruz y Sendas	L1450948	H	1.1190923	-70.0826454	2014-08-17	05:45:00	obsr107352	S40901838	Traveling	P22	EBIRD	660	4.828		5	1	G1893745		
2024-01-02 13:24:08.560397	Colombia	CO	Vaupés	CO-VAU							Camino Santa Cruz y Sendas	L1450948	H	1.1190923	-70.0826454	2014-03-24	06:54:00	obsr162387	S18250330	Incidental	P20	EBIRD				1	1			
2024-01-02 13:24:09.259749	Colombia	CO	Vaupés	CO-VAU							Camino Santa Cruz y Sendas	L1450948	H	1.1190923	-70.0826454	2014-11-08	06:00:00	obsr1461705	S101164189	Traveling	P22	EBIRD	540	8.047		3	1	G7515878		
