Genus,species,Scientific,Month,Season
Actitis,macularius,Actitis macularius,January,Dry
Amazona,farinosa,Amazona farinosa,December,Dry
Amazona,farinosa,Amazona farinosa,September,Transition
Amazona,kawalli,Amazona kawalli,December,Dry
Amazona,kawalli,Amazona kawalli,September,Transition
Anhinga,anhinga,Anhinga anhinga,December,Dry
Anhinga,anhinga,Anhinga anhinga,May,Rain
Anthracothorax,nigricollis,Anthracothorax nigricollis,December,Dry
Anthracothorax,nigricollis,Anthracothorax nigricollis,May,Rain
Ara,macao,Ara macao,December,Dry
Ara,macao,Ara macao,October,Transition
Aramides,cajaneus,Aramides cajaneus,February,Dry
Ardea,alba,Ardea alba,December,Dry
Ardea,cocoi,Ardea cocoi,January,Dry
Athene,cunicularia,Athene cunicularia,January,Dry
Attila,cinnamomeus,Attila cinnamomeus,April,Rain
Attila,citriniventris,Attila citriniventris,April,Rain
Berlepschia,rikeri,Berlepschia rikeri,March,Rain
Brotogeris,cyanoptera,Brotogeris cyanoptera,August,Transition
Brotogeris,cyanoptera,Brotogeris cyanoptera,December,Dry
Brotogeris,cyanoptera,Brotogeris cyanoptera,February,Dry
Brotogeris,cyanoptera,Brotogeris cyanoptera,March,Rain
Bubulcus,ibis,Bubulcus ibis,August,Transition
Bubulcus,ibis,Bubulcus ibis,January,Dry
Bubulcus,ibis,Bubulcus ibis,June,Rain
Bucco,capensis,Bucco capensis,April,Rain
Bucco,capensis,Bucco capensis,August,Transition
Bucco,macrodactylus,Bucco macrodactylus,July,Rain
Bucco,macrodactylus,Bucco macrodactylus,March,Rain
Bucco,tamatia,Bucco tamatia,August,Transition
Buteo,nitidus,Buteo nitidus,March,Rain
Buteogallus,urubitinga,Buteogallus urubitinga,January,Dry
Butorides,striata,Butorides striata,January,Dry
Butorides,striata,Butorides striata,June,Rain
Cacicus,cela,Cacicus cela,May,Rain
Cacicus,cela,Cacicus cela,November,Transition
Cacicus,haemorrhous,Cacicus haemorrhous,May,Rain
Cacicus,haemorrhous,Cacicus haemorrhous,November,Transition
Cairina,moschata,Cairina moschata,April,Rain
Campephilus,melanoleucus,Campephilus melanoleucus,December,Dry
Campephilus,rubricollis,Campephilus rubricollis,April,Rain
Campephilus,rubricollis,Campephilus rubricollis,January,Dry
Campylopterus,largipennis,Campylopterus largipennis,March,Rain
Campylorhamphus,procurvoides,Campylorhamphus procurvoides,September,Transition
Capito,auratus,Capito auratus,December,Dry
Capito,auratus,Capito auratus,June,Rain
Capito,auratus,Capito auratus,September,Transition
Caryothraustes,canadensis,Caryothraustes canadensis,April,Rain
Cathartes,melambrotus,Cathartes melambrotus,December,Dry
Cathartes,melambrotus,Cathartes melambrotus,September,Transition
Celeus,elegans,Celeus elegans,April,Rain
Celeus,grammicus,Celeus grammicus,April,Rain
Celeus,grammicus,Celeus grammicus,September,Transition
Cephalopterus,ornatus,Cephalopterus ornatus,August,Transition
Cephalopterus,ornatus,Cephalopterus ornatus,January,Dry
Cephalopterus,ornatus,Cephalopterus ornatus,March,Rain
Ceratopipra,erythrocephala,Ceratopipra erythrocephala,August,Transition
Chaetura,brachyura,Chaetura brachyura,September,Transition
Chelidoptera,tenebrosa,Chelidoptera tenebrosa,December,Dry
Chelidoptera,tenebrosa,Chelidoptera tenebrosa,September,Transition
Chloroceryle,aenea,Chloroceryle aenea,August,Transition
Chloroceryle,aenea,Chloroceryle aenea,February,Dry
Chloroceryle,amazona,Chloroceryle amazona,February,Dry
Chloroceryle,americana,Chloroceryle americana,February,Dry
Chloroceryle,inda,Chloroceryle inda,February,Dry
Chlorophanes,spiza,Chlorophanes spiza,August,Transition
Chlorophanes,spiza,Chlorophanes spiza,December,Dry
Chlorophanes,spiza,Chlorophanes spiza,July,Rain
Chordeiles,nacunda,Chordeiles nacunda,February,Dry
Chrysuronia,oenone,Chrysuronia oenone,March,Rain
Cissopis,leverianus,Cissopis leverianus,September,Transition
Claravis,pretiosa,Claravis pretiosa,January,Dry
Claravis,pretiosa,Claravis pretiosa,June,Rain
Coccycua,minuta,Coccycua minuta,August,Transition
Coccyzus,melacoryphus,Coccyzus melacoryphus,July,Rain
Coereba,flaveola,Coereba flaveola,January,Dry
Coereba,flaveola,Coereba flaveola,July,Rain
Columbina,minuta,Columbina minuta,October,Transition
Corythopis,torquatus,Corythopis torquatus,April,Rain
Corythopis,torquatus,Corythopis torquatus,January,Dry
Cotinga,cayana,Cotinga cayana,August,Transition
Cotinga,cayana,Cotinga cayana,March,Rain
Crotophaga,ani,Crotophaga ani,December,Dry
Crotophaga,major,Crotophaga major,March,Rain
Crypturellus,duidae,Crypturellus duidae,August,Transition
Crypturellus,duidae,Crypturellus duidae,February,Dry
Crypturellus,soui,Crypturellus soui,August,Transition
Crypturellus,variegatus,Crypturellus variegatus,August,Transition
Cyanerpes,caeruleus,Cyanerpes caeruleus,August,Transition
Cyanerpes,caeruleus,Cyanerpes caeruleus,December,Dry
Cyanerpes,caeruleus,Cyanerpes caeruleus,July,Rain
Cyanerpes,cyaenus,Cyanerpes cyaenus,August,Transition
Cyanerpes,cyaneus,Cyanerpes cyaneus,December,Dry
Cyanerpes,cyaneus,Cyanerpes cyaneus,July,Rain
Cyanerpes,nitidus,Cyanerpes nitidus,December,Dry
Cyanocorax,heilprini,Cyanocorax heilprini,December,Dry
Cyanocorax,heilprini,Cyanocorax heilprini,June,Rain
Cyanocorax,heilprini,Cyanocorax heilprini,September,Transition
Cymbilaimus,lineatus,Cymbilaimus lineatus,April,Rain
Cymbilaimus,lineatus,Cymbilaimus lineatus,February,Dry
Dacnis,albiventris,Dacnis albiventris,December,Dry
Dacnis,albiventris,Dacnis albiventris,October,Transition
Dacnis,cayana,Dacnis cayana,December,Dry
Dacnis,cayana,Dacnis cayana,October,Transition
Dacnis,flaviventer,Dacnis flaviventer,August,Transition
Dacnis,flaviventer,Dacnis flaviventer,December,Dry
Dacnis,lineata,Dacnis lineata,December,Dry
Daptrius,ater,Daptrius ater,January,Dry
Daptrius,ater,Daptrius ater,March,Rain
Dendrocincla,fuliginosa,Dendrocincla fuliginosa,January,Dry
Dendrocincla,fuliginosa,Dendrocincla fuliginosa,March,Rain
